FENG S,57195520544,57195627132
KUMAR P,57164203600,57221449259
ZHOU C,39863835200,57214252018
YANG H,57198825619,26633308900
XIA C,55539136900,7201649461
LI W,37108111600,8922678800
WANG D,55713313900,57214212973,57059573200
GAO J,9275658500,55978444000,8273855500
WANG Z,36022134200,57742693400
HE B,22234207800,57222659015,57194765847
LI X,57214904061,54403400400,57204659303,55873109400,57221971409,56985931300,56483057800,55961761900,57188721499
FENG Y,24471261200,37052051300
LIU Y,57052439300,55578802900,54420556300,57222662181,36067639400
CHEN C,57220061745,57208760965,57218665372,36701194700,57211151831
PENG B,24598123800,57189460156
WANG H,56843663800,56506199000,8443997400,55885531900,53882069200
WANG T,56190436300,7405564195
SUN Y,57202838433,57189292453
ZHU L,56457007200,57219950847
QIAO M,56011728300,7006316375
SHEN W,7403601371,7403601963
ZHANG M,7601556486,57193678928
DU Y,55197847400,57216523139
CAO Y,57224845365,57196415148,23011057700
LI S,55893317900,7409242350
CHEN R,55359013400,7406312128
LI Z,57199073705,55693835900,57222259168
WU Y,57192677505,55707365600
YU X,37064075000,57216362675
MA L,57161423900,55662304800
LIU S,55872968400,57731265500,57201979941,57195964369
ZHOU Y,23395632000,16418160500
DU H,56621982100,56338460000
WANG A,7404620465,57205469410,14008832200,55542323500
ZHAO Y,36811019300,57203973850,37068278500
ZHU W,57189577688,7404233019
ZHANG J,55782282900,56262532000,57193613108,56610072600,36717078500,24823476400,57218285160,57196379145
NING X,57201076034,55235162600
WU Z,55732781200,55656509700
ZHAO X,7407576891,55600738700,57216185156
SAMUDRALA SP,56382107000,57216886308
ZHANG C,56263727700,57188767504
ZHOU X,7410092325,45261698000
GRANADOS ML,57212525829,7003415335
YANG X,7406497961,55140727400
LUO H,7401480309,55454073900
HOU Z,7201895560,56249411000
YUAN Z,26030763900,36467290200
YAN W,55569451900,57188838404
LIU L,57131678500,57209248644,56093216000,57209500941
LIU C,56923419600,56282209400,35218893700,57235373800
ZHENG L,56797166300,56510723800
KUMAR A,55628573288,57198891016
WANG M,56203680900,57188769416
XU B,8930544500,56666343200
YANG M,57210425408,57221081935
ZHOU J,35323517600,8528050800,57191733005,7405545774
LIU J,57203570101,57217863881
XIONG W,57214830507,57217122673
YAN X,57197756264,57202776035
MIYAKE T,57738116000,55875937400
WANG B,57215374583,57223158767,57263545100,57199068582
IRMAWATI R,8681468100,57329240000
ZHU Y,55861332400,57212261860,14057134400
SUN Z,55035849200,57211841957
LIU X,35253728700,57194433368,54987644300,57216539342,56385103200
ZHANG B,55619300448,57199725666,57202826056
ZHANG W,13303040000,57205508217,57225164007
WANG J,57218509837,55660139500,57200017788,56417923800,57195566020,55742772100,24765511200,56711435200,57204818347,57201259539
YAN H,57209188562,57109631500
JIANG T,57218240504,56430319600,8613636400
ZHANG T,56158944400,57226371445
CHEN X,57211101169,55146513400
LI D,57770359800,56734701400,7405327624
ZHANG Y,55877262800,57196198222,36471409800,55854391100,8281708000,56275836300,57112108400,15836097900
YU W,55473179900,57681513900
WANG X,7501856591,55061101500,57221484493,56436217400,57198359500,37115997300,57206207690
YU L,56226183300,57309474900,23491035900
LIU P,7404618445,57203346527
LIU Z,57199259295,57441056100,57192934183
YANG C,57191343622,55508675200
ZHAO J,57816489100,57680146800
LI K,55733144100,55488054200
DONG W,26324841500,56999642800
LIU H,36059441300,53264285000,57202755650,55877977200,27567768100
LI Y,36016973400,36065324500,36012488100,57221625903,56543195100,56785362300,57199261609,56467815800
HOU B,55846487600,57201900171
FAN Y,55749198500,57204654856
SUN P,55775399100,57220983651
XU C,7404181871,35207737400
XI Y,25823569200,42462918800
ZHANG X,13606331700,57206727236,55999574100,57224751543,57192505757
ZHOU Z,57262038300,57462006000,56783280900,56562074000,55728179600
LI L,56121280900,56180077100
SU Y,55982961300,57189058666
ZHANG Q,56540130900,56108731200,42862675000,57218279002
CHEN J,55717595600,57194513863,12796614700
ZHU M,57188697514,57200920240
ZHAO B,55329047200,57196357487
CHEN L,57190968357,57201491043,53979258500
WANG C,55791617800,56441941800,57192595429,35254467500,57195631580
QU Y,55578175200,57210214517
ZHANG F,57747558900,56441854900
ZHANG H,57192485218,36338259500
LI J,26643091100,22992935000,53984567900,57206962866,57203736918
SHI L,57251023100,57199772889
GUO X,57209885923,26428759500,55865797900,55570531500,24729291300,7404330220,55545546900
LI C,55330132100,36054616100,7501676394,56150274600,57220062048
XU S,57202716179,25523077900
XU J,55578432900,57194648419
WANG S,55714465800,7410331291
ZHOU M,55448871100,57191756322
WANG Y,57203770951,55734028000,13409472800,35774465200,56084255200,56426626600,55733917100,57221921120,55938858000,55971558700,47962677000
SINGH S,57214305259,8150030500
CHAUDHARI RV,55938885200,7101777898
